업체명,공장사업장주소,위도,경도
거산산업개발(주),경상북도 상주 공성면 산현리 31413 ,36.281645,128.125198
영일물산(주),경기도 용인시 처인구 백암면 백봉로 105,37.15304,127.375562
(주)포항환경건설,경상북도 포항시 북구 흥해읍 덕장길 220,36.148251,129.33251
(주)세양개발,경상북도 칠곡군 석적읍 소학로 92 ,36.036758,128.458005
(주)신풍,경상남도 거제시 사등면 성포로 349-18 ,34.916273,128.538648
(주)경보,경상남도 하동군 고전면 하동읍성로 97-26 ,35.005203,127.811154
(주)에스제이,경상북도 상주시 낙동면 영남제일로 503-15 ,36.385467,128.269074
(주)삼성,경기도 안성시 원곡면 지산길 55-61 ,37.056633,127.131252
서경아스콘(주) 안성지점,경기도 안성시 금광면 금광오산로 139 ,36.991836,127.313264
(주)미래,전라남도 나주시 다도면 다남로 190 ,34.984756,126.849127
금강환경건설(유)임실아스콘,전북특별자치도 임실군 신평면 창인로 245 ,35.656238,127.273057
광진레미콘(주),인천광역시 옹진군 백령면 가을리 29221 ,37.956599,124.658941
(주)태인,전북특별자치도 정읍시 태인면 왕림길 46042 ,35.65943,126.931643
(주)금강,경기도 안성시 원곡면 만세로 865 ,37.060216,127.174553
(주)에스제이 레미콘,경상북도 상주시 화개길 17(화개동)  ,36.417185,128.185664
(주)포이닉스 여주공장,경기도 여주시 흥천면 흥천로 259 ,37.321828,127.554044
(유)청솔아스콘,전북특별자치도 무주군 안성면 진성로 2502-41 ,35.866883,127.64044
(주)완수산업아스콘,전북특별자치도 김제시 용지면 황토로 799 ,35.857824,126.952417
평화아스콘(주),경기도 포천시 천보1길 46040 (동교동) ,37.842403,127.126355
삼원아스콘(주),전라남도 광양시 광양읍 제철로 315-16 ,34.936321,127.607311
신공항아스콘(주),인천광역시 중구 영종해안북로 702번길 115-96 (운서동),37.491135,126.451226
영종아스콘 (주),인천광역시 중구 영종해안북로 970 (운서동) ,37.496328,126.467002
에스와이삼양아스콘(주),경기도 양주시 광적면 부흥로 841-23 ,37.818461,126.988785
이스코인더스트리(유),충청남도 부여군 은산면 지천로 845 ,36.378876,126.833423
(주)제일레미콘 아스콘공장,경상남도 거제시 연초면 오비4길 42 ,34.919606,128.616585
(주)부일레미콘,부산광역시 금정구 수원지로 24 (회동동) ,35.232769,129.121233
(주)영동아스콘산업,강원특별자치도 고성군 토성면 진등길 130-5 ,38.269253,128.535723
(주)성심레미콘,강원특별자치도 양양군 서면 곰밭길 116-39 ,38.063305,128.598192
(주)동녘,경기도 양주시 광적면 화합로 276 ,37.859151,126.966731
(주)우성기업,경상남도 진주시 솔밭로 55 (상평동) ,35.173686,128.106766
(주)세기아스콘,경상북도 김천시 남면 오봉로 22 ,36.088667,128.246884
(주)누보켐김천,경상북도 김천시 봉산면 광천5길 18-23 ,36.203736,128.006154
(주)충무화학,강원특별자치도 정선군 남면 거칠현길 100-41 ,37.31928,128.728939
(주)유강피씨,경상남도 창원시 마산합포구 진북면 망곡리 46035,35.143941,128.485706
(주)다성,경기도 이천시 백사면 이여로428번길 43-40 ,37.329548,127.485023
대화아스콘(주),대전광역시 대덕구 대화로52번길 199  ,36.376296,127.409816
(주)대광아스콘,경기도 여주시 가남읍 여주남로 761 ,37.233477,127.575321
(주)금강아스콘,강원특별자치도 고성군 토성면 성천리 307-3 ,38.219453,128.529891
(유)창명산업,전북특별자치도 부안군 보안면 종유로 140-96 ,35.648736,126.684637
옥천아스콘(유),전북특별자치도 순창군 순창읍 복실리 753-7 ,35.401071,127.14021
우리아스콘(주),경상북도 영천시 고경면 산수골길 49 ,35.994933,129.092366
한석아스콘(주),경기도 안성시 양성면 남북대로 1936 ,37.085769,127.212966
(주)금산씨알에이,전북특별자치도 김제시 금산면 금평로 281-177 ,35.725645,126.987359
경서아스콘(주),세종특별자치시 부강면 시목부강로 608  ,36.518946,127.379512
(주)동아레미콘,경상남도 함안군 칠원읍 무기로 103 ,35.29523,128.543866
대덕아스콘환경(주),대전광역시 대덕구 대화로 32번길 303(대화동) ,36.375352,127.407761
성원레미콘아스콘(주),강원특별자치도 영월군 한반도면 고촌길 32-17 ,37.17846,128.330365
(유)양지아스콘,전북특별자치도 군산시 임해로 269 (소룡동) ,35.978226,126.642443
(합)용두산업,강원특별자치도 고성군 거진읍 봉정로 213-16 ,38.449426,128.42823
(주)진보아스콘,경상남도 양산시 소주공단2길 78 (주남동) ,35.420887,129.152367
(주)부일산업,제주특별자치도 제주시 구좌읍 월행남길 111 ,33.542193,126.789281
