업체명,주소,위도,경도
주식회사 중앙,강원 삼척시 근덕면 시목길 57,37.370473,129.199091
(주)유덕산업,강원도 춘천시 남산면 추곡고개길 341,37.767777,127.643282
덕원산업㈜원주공장,강원도 원주시 우산동 400-1,37.379573,127.939731
중앙레미콘(주),강원도 원주시 귀래면 방아실길 65,37.223646,127.850435
동방레미콘㈜,강원도 평창군 봉평면 경강로 438,37.59869,128.310362
유진기업(주)춘천,강원도 춘천시  동산면 영서로915,37.77911,127.76316
(주)대원레미콘,경기도 여주시 가남읍 여주남로 763,37.232866,127.575488
(주)대광아스콘(대광레미콘),경기도 광주시 광남안로431번길 28-34(직동),37.397594,127.190132
정안레미콘 주식회사,경기도 화성시 마도면 송정로97번길 95,37.221112,126.777643
제이에이치기업 주식회사 이천,경기도 이천시 대월면 양녕로 55-53,37.180149,127.502578
태웅레미콘(주),경기도 연천군 전곡읍 양연로 747,37.971888,127.00742
성진도시개발 주식회사,경기도 화성시 남양읍 현대기아로 466-7,37.192116,126.847081
(주)정선,경기도 의정부시 동일로 69(장암동),37.695226,127.054058
한라엔컴(ENCOM) (주) 이천사업소,경기도 이천시 모가면 공원로218번길 135-24,37.175871,127.46186
성신레미컨(주)용인공장,"경기도 용인시 처인구 동부로 97(마평동, 성신양회(주))",37.227059,127.220325
성신레미컨(주)파주공장,경기도 파주시 조리읍 매봉재길 78,37.775437,126.827717
성신레미컨(주),"경기도 구리시 동구릉로 252(인창동, 성신양회공업주식회사)",37.619818,127.141523
(주)대원아스콘 지점 대원레미콘,경기도 파주시 광탄면 부흥로169번길 160,37.807961,126.873434
한내레미콘 주식회사,경기도 포천시 내촌면 내진로 310-67,37.811324,127.213431
태창레미콘(주),경기도 파주시 월롱면 정문로 166,37.776243,126.808718
일진기업 주식회사,경기도 양평군 양평읍 양근로 350,37.479753,127.503214
(주)대광레미콘,경기도 여주시 여주남로 761,37.233477,127.575321
한일산업(주)용인공장,경기도 용인시 처인구 이동읍 화산로 14,37.143846,127.203161
금강레미콘(주),경기도 여주시 가남읍 설가로 662,37.190454,127.523298
(주)삼성,경기도 안성시 원곡면 지산길 55-61,37.056633,127.131252
주식회사 에스피레미콘 동서울공장,경기도 남양주시 진건읍 진관산단로59번길 7,37.636705,127.155299
한국레미콘(주),경기도 화성시 남양읍 현대기아로 473-20,37.194532,126.844387
주식회사 영진레미콘,경기도 포천시 가산면 마현4길 91-22((주)영진레미콘),37.836738,127.197793
부강레미콘(주),경기도 화성시 팔탄면 현대기아로 556번길 111,37.19681,126.862802
(주)건설콘크리트,경기도 용인시 기흥구 중부대로 38(영덕동),37.266775,127.073366
유진기업(주)광주,경기도 광주시 오포읍 문현로 91-44,37.349822,127.219407
(주)새한레미콘,경기도 가평군 가평읍 상색리 350,37.791356,127.472852
고려산업(주)서인천공장,경기도 김포시 양촌읍 삼도공단로49번길 32,37.602095,126.596489
선일공업(주),경기도 부천시 오정로 58(삼정동),37.525521,126.766558
(주)장원레미콘,경기도 남양주시 진건읍 진관산단로59번길 13,37.636844,127.154216
